order_id,customer_name,email,product_category,product_name,quantity,unit_price,discount_percent,total_amount,order_date,city,country,payment_method,order_status,rating
ORD00021,Ananya Brown,ananya.brown258@example.com,Electronics,Bluetooth Speaker,5.0,26.82,0.0,134.1,2024-10-14,Vancouver,Canada,PayPal,Cancelled,4.0
ORD00022,Sophia Sharma,sophia.sharma968@example.com,Beauty,Shampoo,6.0,293.34,0.0,1760.04,2023-02-12,Montreal,Canada,,Delivered,3.0
ORD00023,Li Johnson,li.johnson363@example.com,Sports,Football,3.0,463.25,0.0,1389.75,2023-07-01,Tokyo,Japan,Debit Card,Processing,4.0
ORD00024,Mei Johnson,mei.johnson807@example.com,Beauty,Face Serum,1.0,430.0,25.0,322.5,2023-12-25,Vancouver,Canada,Debit Card,Delivered,4.0
ORD00025,James Brown,james.brown991@example.com,Home & Kitchen,Blender,7.0,341.36,15.0,2031.09,2023-01-29,Chicago,USA,Debit Card,Returned,4.0
ORD00026,Vivaan Reddy,vivaan.reddy354@example.com,Beauty,Lipstick Set,9.0,62.24,5.0,532.15,2023-09-18,Pune,India,Net Banking,Delivered,5.0
ORD00027,Li Smith,li.smith72@example.com,Beauty,Lipstick Set,2.0,361.28,10.0,650.3,2024-11-13,Kyoto,Japan,Net Banking,Processing,3.0
ORD00028,Emma Tanaka,emma.tanaka925@example.com,Clothing,Rain Jacket,7.0,276.23,,1933.61,2023-10-21,Frankfurt,Germany,,Returned,4.0
ORD00029,Michael Garcia,michael.garcia219@example.com,Sports,Football,3.0,331.13,15.0,844.38,2023-04-06,Hamburg,Germany,Debit Card,Shipped,1.0
ORD00030,Diya Martinez,diya.martinez787@example.com,Electronics,Earbuds,10.0,101.25,25.0,759.38,2024-02-14,Munich,Germany,PayPal,Delivered,2.0
ORD00031,Haruto Suzuki,haruto.suzuki824@example.com,Beauty,Perfume,9.0,128.35,25.0,866.36,2023-05-17,Marseille,France,,Cancelled,5.0
ORD00032,Emma Rossi,emma.rossi163@example.com,Beauty,Sunscreen,4.0,420.73,25.0,1262.19,2024-10-03,Hamburg,Germany,Net Banking,Delivered,3.0
ORD00033,Sara Zhang,sara.zhang554@example.com,Electronics,USB-C Cable,7.0,348.51,0.0,2439.57,2024-02-29,Kyoto,Japan,Cash on Delivery,Cancelled,3.0
ORD00034,Sofia Suzuki,sofia.suzuki789@example.com,Sports,Yoga Mat,10.0,193.29,,1932.9,2023-12-27,Calgary,Canada,,Cancelled,5.0
ORD00035,Mei Dubois,mei.dubois500@example.com,Clothing,Running Shoes,1.0,197.48,20.0,157.98,2023-06-19,Lyon,France,Cash on Delivery,Returned,
ORD00036,John Muller,john.muller28@example.com,Electronics,Smartwatch,8.0,94.96,15.0,645.73,2023-08-05,Marseille,France,UPI,Cancelled,4.0
ORD00037,Sara Kumar,sara.kumar768@example.com,Sports,Yoga Mat,6.0,115.99,0.0,695.94,2023-02-01,Munich,Germany,,Delivered,3.0
ORD00038,Rohan Martinez,rohan.martinez578@example.com,Clothing,Wool Sweater,6.0,88.06,0.0,528.36,2023-06-17,Toronto,Canada,Cash on Delivery,Delivered,5.0
ORD00039,Li Tanaka,li.tanaka733@example.com,Clothing,Cotton T-Shirt,4.0,55.44,0.0,221.76,2024-08-02,Bengaluru,India,Cash on Delivery,Cancelled,2.0
ORD00040,David Zhang,,Books,History Book,6.0,319.61,0.0,1917.66,2024-03-21,Birmingham,UK,Cash on Delivery,Returned,5.0
ORD00041,Emma Muller,emma.muller873@example.com,Clothing,Cotton T-Shirt,8.0,125.71,20.0,804.54,2023-12-11,Chennai,India,,Processing,3.0
ORD00042,Mary Brown,mary.brown902@example.com,Sports,Cricket Bat,9.0,474.29,20.0,3414.89,2024-05-15,Sao Paulo,Brazil,PayPal,Cancelled,5.0
ORD00043,Michael Sharma,michael.sharma227@example.com,Books,Cookbook,10.0,187.67,15.0,1595.19,2024-03-11,Rio de Janeiro,Brazil,UPI,Cancelled,4.0
ORD00044,Diya Reddy,diya.reddy324@example.com,Electronics,USB-C Cable,8.0,141.87,10.0,1021.46,2023-04-13,Hamburg,Germany,Debit Card,Processing,1.0
ORD00045,Chen Rossi,chen.rossi47@example.com,Electronics,Webcam,3.0,320.75,0.0,962.25,2023-01-13,Abu Dhabi,UAE,Net Banking,Cancelled,3.0
ORD00046,Vivaan Brown,vivaan.brown490@example.com,Electronics,Bluetooth Speaker,2.0,290.63,0.0,581.26,2023-06-02,Abu Dhabi,UAE,Credit Card,Shipped,4.0
ORD00047,Ava Dubois,ava.dubois232@example.com,Sports,Football,8.0,152.19,20.0,974.02,2023-11-09,Sharjah,UAE,Credit Card,Returned,2.0
ORD00048,Haruto Smith,haruto.smith271@example.com,Beauty,Face Serum,3.0,278.24,20.0,667.78,2024-04-06,Abu Dhabi,UAE,UPI,Delivered,4.0
ORD00049,Chen Garcia,chen.garcia240@example.com,Home & Kitchen,LED Lamp,4.0,215.44,0.0,861.76,2023-09-30,London,UK,Credit Card,Shipped,5.0
ORD00050,Yuki Muller,yuki.muller450@example.com,Electronics,Earbuds,7.0,471.62,25.0,2476.01,2024-03-24,San Francisco,USA,Credit Card,Cancelled,5.0
ORD00051,Sara Sharma,sara.sharma985@example.com,Beauty,Perfume,1.0,499.79,10.0,449.81,2024-08-13,Delhi,India,Net Banking,Returned,4.0
ORD00052,Priya Muller,priya.muller834@example.com,Books,Fiction Novel,7.0,169.99,0.0,1189.93,2023-12-04,Yokohama,Japan,UPI,Cancelled,5.0
ORD00053,Vivaan Garcia,vivaan.garcia259@example.com,Home & Kitchen,Non-stick Pan,7.0,433.13,0.0,3031.91,2024-11-04,Rio de Janeiro,Brazil,Net Banking,Delivered,4.0
ORD00054,Ava Martinez,ava.martinez779@example.com,Electronics,Laptop Stand,3.0,464.2,25.0,1044.45,2023-05-05,Pune,India,Cash on Delivery,Shipped,4.0
ORD00055,Sophia Sharma,sophia.sharma96@example.com,Clothing,Cotton T-Shirt,2.0,325.62,10.0,586.12,2024-06-05,Calgary,Canada,,Cancelled,3.0
ORD00056,Michael Rossi,michael.rossi196@example.com,Sports,Cycling Helmet,3.0,432.69,20.0,1038.46,2023-12-15,Rio de Janeiro,Brazil,,Delivered,4.0
ORD00057,Sofia Muller,sofia.muller676@example.com,Books,Cookbook,8.0,175.84,20.0,1125.38,2024-04-11,Melbourne,Australia,PayPal,Shipped,3.0
ORD00058,Lucas Suzuki,lucas.suzuki763@example.com,Books,History Book,3.0,250.19,,750.57,2024-05-29,Abu Dhabi,UAE,,Delivered,5.0
ORD00059,Ishaan Silva,ishaan.silva16@example.com,Beauty,Shampoo,3.0,42.04,10.0,113.51,2023-12-13,Sharjah,UAE,Net Banking,Delivered,5.0
ORD00060,John Zhang,john.zhang909@example.com,Books,Children's Storybook,2.0,121.21,10.0,218.18,2023-08-21,Houston,USA,Credit Card,Delivered,4.0
ORD00061,Mateo Sharma,mateo.sharma816@example.com,Electronics,Webcam,7.0,77.06,0.0,539.42,2023-06-24,London,UK,Cash on Delivery,Cancelled,3.0
ORD00062,Olivia Muller,olivia.muller473@example.com,Beauty,Lipstick Set,1.0,449.96,10.0,404.96,2024-11-24,Sao Paulo,Brazil,Credit Card,Cancelled,5.0
ORD00063,Kavya Suzuki,kavya.suzuki468@example.com,Home & Kitchen,Coffee Maker,8.0,57.79,15.0,392.97,2024-08-11,Montreal,Canada,Credit Card,Cancelled,5.0
ORD00064,Lucas Patel,lucas.patel764@example.com,Books,Self-Help Guide,4.0,305.5,5.0,1160.9,2024-09-27,Vancouver,Canada,PayPal,Delivered,1.0
ORD00065,Kavya Garcia,,Home & Kitchen,LED Lamp,5.0,166.73,5.0,791.97,2023-05-16,Rio de Janeiro,Brazil,Cash on Delivery,Returned,3.0
ORD00066,Sara Martinez,sara.martinez303@example.com,Beauty,Lipstick Set,8.0,481.63,5.0,3660.39,2024-11-23,Kyoto,Japan,Credit Card,Cancelled,
ORD00067,Sophia Reddy,sophia.reddy689@example.com,Beauty,Lipstick Set,6.0,58.63,0.0,351.78,2024-09-26,Rio de Janeiro,Brazil,Cash on Delivery,Shipped,5.0
ORD00068,Isabella Williams,isabella.williams120@example.com,Clothing,Cotton T-Shirt,5.0,497.98,5.0,2365.41,2024-07-04,Leeds,UK,Net Banking,Processing,5.0
ORD00069,Emma Muller,emma.muller159@example.com,Books,Fiction Novel,10.0,207.02,0.0,2070.2,2024-01-15,Frankfurt,Germany,Net Banking,Shipped,2.0
ORD00070,Li Wang,li.wang661@example.com,Home & Kitchen,Non-stick Pan,4.0,484.26,25.0,1452.78,2023-04-04,Berlin,Germany,Credit Card,Processing,3.0
ORD00071,Mei Muller,mei.muller850@example.com,Sports,Dumbbell Set,4.0,167.64,0.0,670.56,2023-10-11,Manchester,UK,Cash on Delivery,Processing,2.0
ORD00072,Li Sharma,li.sharma367@example.com,Clothing,Rain Jacket,3.0,136.36,20.0,327.26,2024-06-22,New York,USA,Net Banking,Cancelled,5.0
ORD00073,Liam Reddy,liam.reddy227@example.com,Sports,Yoga Mat,9.0,154.31,0.0,1388.79,2023-03-04,Nice,France,Net Banking,Delivered,5.0
ORD00074,Aditya Kumar,aditya.kumar152@example.com,Electronics,USB-C Cable,10.0,276.44,10.0,2487.96,2024-04-09,Brasilia,Brazil,Net Banking,Delivered,2.0
ORD00075,Lucas Rossi,lucas.rossi221@example.com,Books,History Book,7.0,172.77,20.0,967.51,2023-04-08,Perth,Australia,UPI,Processing,3.0
ORD00076,Li Martinez,li.martinez852@example.com,Electronics,Bluetooth Speaker,6.0,406.83,15.0,2074.83,2024-11-17,Houston,USA,UPI,Cancelled,1.0
ORD00077,Kavya Dubois,kavya.dubois107@example.com,Sports,Cycling Helmet,8.0,116.0,15.0,788.8,2023-04-28,Vancouver,Canada,,Cancelled,5.0
ORD00078,Ava Rossi,,Beauty,Lipstick Set,,140.27,15.0,,2023-12-26,Delhi,India,,Shipped,4.0
ORD00079,Aditya Singh,aditya.singh996@example.com,Electronics,Bluetooth Speaker,4.0,191.22,0.0,764.88,2024-01-14,Montreal,Canada,,Returned,1.0
ORD00080,Rohan Gupta,rohan.gupta51@example.com,Beauty,Face Serum,7.0,245.4,10.0,1546.02,2023-08-09,Sao Paulo,Brazil,UPI,Cancelled,5.0
ORD00081,Olivia Silva,olivia.silva47@example.com,Clothing,Wool Sweater,1.0,8.81,5.0,8.37,2023-05-21,Montreal,Canada,UPI,Delivered,
ORD00082,Yuki Suzuki,yuki.suzuki390@example.com,Sports,Dumbbell Set,6.0,40.68,0.0,244.08,2024-03-22,Chennai,India,Credit Card,Processing,5.0
ORD00083,John Suzuki,john.suzuki415@example.com,Electronics,Power Bank,10.0,232.75,15.0,1978.38,2023-04-01,Tokyo,Japan,Debit Card,Cancelled,5.0
ORD00084,Aditya Tanaka,aditya.tanaka764@example.com,Home & Kitchen,Coffee Maker,3.0,42.81,5.0,122.01,2023-12-24,Melbourne,Australia,Debit Card,Delivered,3.0
ORD00085,Priya Dubois,priya.dubois778@example.com,Beauty,Face Serum,8.0,234.66,25.0,1407.96,2024-11-28,Sharjah,UAE,PayPal,Returned,4.0
ORD00086,Rohan Garcia,rohan.garcia453@example.com,Beauty,Lipstick Set,10.0,32.81,10.0,295.29,2024-04-17,Paris,France,Credit Card,Processing,2.0
ORD00087,Wei Kumar,wei.kumar520@example.com,Books,History Book,1.0,227.62,5.0,216.24,2023-11-26,Abu Dhabi,UAE,Cash on Delivery,Shipped,5.0
ORD00088,Ishaan Zhang,ishaan.zhang87@example.com,Sports,Dumbbell Set,8.0,495.54,0.0,3964.32,2024-01-08,Brisbane,Australia,Net Banking,Cancelled,5.0
ORD00089,Vivaan Zhang,vivaan.zhang97@example.com,Sports,Football,10.0,437.27,0.0,4372.7,2023-12-25,Calgary,Canada,Debit Card,Returned,2.0
ORD00090,Kavya Rossi,kavya.rossi811@example.com,Home & Kitchen,Coffee Maker,9.0,51.26,15.0,392.14,2023-01-19,Brisbane,Australia,Debit Card,Shipped,5.0
ORD00091,Ananya Johnson,ananya.johnson159@example.com,Electronics,Webcam,2.0,256.31,0.0,512.62,2024-11-08,Melbourne,Australia,Cash on Delivery,Cancelled,3.0
ORD00092,Sofia Dubois,sofia.dubois170@example.com,Beauty,Sunscreen,6.0,339.8,25.0,1529.1,2024-09-17,Calgary,Canada,Debit Card,Returned,5.0
ORD00093,Mateo Smith,mateo.smith970@example.com,Sports,Football,5.0,390.17,20.0,1560.68,2023-06-15,Munich,Germany,,Processing,
ORD00094,Olivia Wang,olivia.wang106@example.com,Beauty,Perfume,5.0,46.52,25.0,174.45,2024-06-09,Leeds,UK,Credit Card,Shipped,4.0
ORD00095,Isabella Sharma,isabella.sharma406@example.com,Sports,Cricket Bat,2.0,190.58,,381.16,2023-04-12,Melbourne,Australia,Debit Card,Delivered,5.0
ORD00096,Chen Singh,chen.singh481@example.com,Books,Children's Storybook,,44.22,0.0,,2024-07-15,Sharjah,UAE,Net Banking,Delivered,3.0
ORD00097,Kavya Reddy,kavya.reddy430@example.com,Beauty,Perfume,2.0,419.16,0.0,838.32,2024-10-09,Brasilia,Brazil,Debit Card,Shipped,1.0
ORD00098,Ava Wang,ava.wang427@example.com,Clothing,Baseball Cap,9.0,487.45,0.0,4387.05,2024-02-04,Paris,France,PayPal,Cancelled,4.0
ORD00099,Yuki Sharma,yuki.sharma70@example.com,Home & Kitchen,Coffee Maker,2.0,386.89,15.0,657.71,2023-05-17,Bengaluru,India,Cash on Delivery,Processing,3.0
ORD00100,Sofia Garcia,sofia.garcia491@example.com,Beauty,Shampoo,2.0,359.44,0.0,718.88,2023-10-28,Berlin,Germany,,Shipped,4.0
ORD00101,Isabella Williams,isabella.williams835@example.com,Sports,Football,4.0,146.62,0.0,586.48,2024-11-02,Brisbane,Australia,Credit Card,Processing,4.0
ORD00102,Yuki Garcia,yuki.garcia396@example.com,Home & Kitchen,Coffee Maker,8.0,186.84,10.0,1345.25,2023-03-26,Tokyo,Japan,Net Banking,Returned,3.0
ORD00103,Sophia Williams,sophia.williams82@example.com,Home & Kitchen,LED Lamp,8.0,303.3,25.0,1819.8,2023-12-26,Paris,France,PayPal,Processing,4.0
ORD00104,Sara Patel,sara.patel653@example.com,Books,Self-Help Guide,3.0,476.63,25.0,1072.42,2023-02-05,London,UK,Debit Card,Processing,5.0
ORD00105,Vivaan Dubois,vivaan.dubois461@example.com,Home & Kitchen,Blender,2.0,289.09,20.0,462.54,2023-11-18,Vancouver,Canada,Credit Card,Delivered,5.0
ORD00106,David Tanaka,david.tanaka121@example.com,Home & Kitchen,Blender,4.0,498.2,25.0,1494.6,2023-07-24,Los Angeles,USA,,Delivered,5.0
ORD00107,Aditya Zhang,aditya.zhang727@example.com,Electronics,Webcam,3.0,357.35,0.0,1072.05,2024-01-06,Sao Paulo,Brazil,Credit Card,Shipped,3.0
ORD00108,Mei Martinez,,Sports,Cycling Helmet,9.0,69.24,0.0,623.16,2023-11-13,Yokohama,Japan,Cash on Delivery,Cancelled,5.0
ORD00109,Aditya Singh,aditya.singh658@example.com,Electronics,Earbuds,9.0,175.53,0.0,1579.77,2023-05-13,Tokyo,Japan,,Delivered,4.0
ORD00110,Priya Gupta,priya.gupta727@example.com,Clothing,Running Shoes,9.0,447.99,10.0,3628.72,2023-07-21,Rio de Janeiro,Brazil,Debit Card,Processing,2.0
ORD00111,David Gupta,david.gupta595@example.com,Clothing,Denim Jeans,10.0,172.12,0.0,1721.2,2023-01-30,New York,USA,PayPal,Returned,3.0
ORD00112,Haruto Muller,haruto.muller655@example.com,Electronics,Earbuds,9.0,148.39,25.0,1001.63,2023-09-08,Kyoto,Japan,Net Banking,Delivered,3.0
ORD00113,Michael Suzuki,michael.suzuki209@example.com,Home & Kitchen,Storage Jars,6.0,368.43,20.0,1768.46,2023-05-14,Sydney,Australia,UPI,Shipped,4.0
ORD00114,Michael Johnson,michael.johnson52@example.com,Home & Kitchen,Cutlery Set,7.0,127.89,0.0,895.23,2023-12-02,Sharjah,UAE,UPI,Shipped,5.0
ORD00115,David Garcia,david.garcia316@example.com,Books,Fiction Novel,7.0,255.2,5.0,1697.08,2024-08-20,Sydney,Australia,Credit Card,Processing,5.0
ORD00116,Kavya Rossi,,Electronics,Smartwatch,5.0,365.12,15.0,1551.76,2023-02-16,Tokyo,Japan,Cash on Delivery,Returned,5.0
ORD00117,Kavya Kumar,kavya.kumar462@example.com,Sports,Cricket Bat,10.0,341.8,0.0,3418.0,2024-02-08,Brisbane,Australia,Cash on Delivery,Processing,3.0
ORD00118,Ava Silva,ava.silva42@example.com,Electronics,Wireless Mouse,6.0,402.96,0.0,2417.76,2024-09-12,Sao Paulo,Brazil,UPI,Returned,4.0
ORD00119,Ava Williams,ava.williams520@example.com,Sports,Cycling Helmet,10.0,153.4,15.0,1303.9,2023-12-06,Houston,USA,Cash on Delivery,Processing,1.0
ORD00120,Ava Martinez,ava.martinez672@example.com,Sports,Cycling Helmet,1.0,293.84,20.0,235.07,2023-06-01,Berlin,Germany,Cash on Delivery,Delivered,5.0
ORD00121,James Suzuki,james.suzuki708@example.com,Clothing,Wool Sweater,10.0,460.66,0.0,4606.6,2023-05-22,Sao Paulo,Brazil,Cash on Delivery,Processing,5.0
ORD00122,David Tanaka,david.tanaka178@example.com,Books,Children's Storybook,6.0,339.55,10.0,1833.57,2024-09-16,Lyon,France,Debit Card,Processing,3.0
ORD00123,Kavya Williams,kavya.williams707@example.com,Beauty,Sunscreen,6.0,282.44,10.0,1525.18,2023-10-22,San Francisco,USA,PayPal,Returned,4.0
ORD00124,Sofia Wang,sofia.wang824@example.com,Clothing,Running Shoes,2.0,176.45,10.0,317.61,2024-05-05,Munich,Germany,,Returned,5.0
ORD00125,Chen Brown,chen.brown631@example.com,Beauty,Perfume,1.0,336.57,5.0,319.74,2023-02-23,Houston,USA,UPI,Cancelled,3.0
ORD00126,Aarav Rossi,aarav.rossi162@example.com,Books,History Book,4.0,379.18,10.0,1365.05,2024-10-23,Mumbai,India,PayPal,Returned,1.0
ORD00127,Isabella Gupta,isabella.gupta858@example.com,Clothing,Cotton T-Shirt,7.0,395.04,10.0,2488.75,2023-02-08,Bengaluru,India,Cash on Delivery,Returned,4.0
ORD00128,Kavya Garcia,kavya.garcia557@example.com,Sports,Football,3.0,426.27,5.0,1214.87,2023-04-26,Melbourne,Australia,PayPal,Cancelled,3.0
ORD00129,Aarav Zhang,aarav.zhang582@example.com,Beauty,Shampoo,7.0,414.36,0.0,2900.52,2024-02-15,Los Angeles,USA,Debit Card,Cancelled,3.0
ORD00130,Aarav Brown,aarav.brown458@example.com,Home & Kitchen,Blender,10.0,10.66,5.0,101.27,2023-03-05,Houston,USA,UPI,Shipped,5.0
ORD00131,Isabella Williams,isabella.williams655@example.com,Home & Kitchen,Blender,4.0,478.89,25.0,1436.67,2024-09-12,Perth,Australia,PayPal,Returned,5.0
ORD00132,Mei Smith,mei.smith697@example.com,Sports,Yoga Mat,9.0,353.36,0.0,3180.24,2023-03-05,Brasilia,Brazil,Debit Card,Returned,3.0
ORD00133,James Silva,james.silva697@example.com,Clothing,Baseball Cap,2.0,449.95,0.0,899.9,2024-04-09,Leeds,UK,Net Banking,Returned,
ORD00134,Michael Williams,michael.williams406@example.com,Home & Kitchen,Non-stick Pan,10.0,41.15,0.0,411.5,2024-07-08,Mumbai,India,Net Banking,Delivered,3.0
ORD00135,Haruto Singh,haruto.singh747@example.com,Beauty,Sunscreen,7.0,227.03,20.0,1271.37,2024-01-20,San Francisco,USA,Debit Card,Processing,5.0
ORD00136,John Silva,john.silva229@example.com,Electronics,Wireless Mouse,8.0,338.38,20.0,2165.63,2023-08-24,Frankfurt,Germany,UPI,Shipped,2.0
ORD00137,Vivaan Suzuki,vivaan.suzuki959@example.com,Electronics,Laptop Stand,2.0,299.0,0.0,598.0,2023-09-08,Chennai,India,Net Banking,Shipped,1.0
ORD00138,Rohan Silva,rohan.silva240@example.com,Beauty,Perfume,10.0,387.41,5.0,3680.39,2023-11-06,Manchester,UK,Net Banking,Processing,5.0
ORD00139,Liam Gupta,liam.gupta438@example.com,Sports,Football,6.0,471.09,15.0,2402.56,2024-03-02,Osaka,Japan,UPI,Cancelled,5.0
ORD00140,Olivia Johnson,olivia.johnson308@example.com,Beauty,Shampoo,1.0,283.38,0.0,283.38,2024-02-02,Hamburg,Germany,Debit Card,Processing,5.0
ORD00141,Lucas Wang,lucas.wang742@example.com,Clothing,Cotton T-Shirt,10.0,303.45,5.0,2882.78,2024-08-24,Sao Paulo,Brazil,Net Banking,Shipped,4.0
ORD00142,Kavya Sharma,kavya.sharma195@example.com,Beauty,Face Serum,8.0,457.65,5.0,3478.14,2024-02-11,Hamburg,Germany,,Processing,5.0
ORD00143,Wei Wang,wei.wang369@example.com,Sports,Football,8.0,382.01,5.0,2903.28,2024-01-15,Perth,Australia,Credit Card,Returned,3.0
ORD00144,Aarav Brown,aarav.brown599@example.com,Sports,Football,4.0,168.28,5.0,639.46,2024-05-26,Brasilia,Brazil,PayPal,Processing,5.0
ORD00145,Yuki Martinez,yuki.martinez751@example.com,Home & Kitchen,Coffee Maker,9.0,246.72,0.0,2220.48,2024-06-20,Mumbai,India,,Delivered,4.0
ORD00146,Rohan Johnson,rohan.johnson155@example.com,Electronics,Laptop Stand,6.0,34.92,25.0,157.14,2024-11-06,Paris,France,Credit Card,Returned,1.0
ORD00147,Aarav Silva,aarav.silva549@example.com,Home & Kitchen,Non-stick Pan,7.0,404.05,0.0,2828.35,2023-04-09,Sao Paulo,Brazil,Debit Card,Shipped,4.0
ORD00148,Sofia Wang,sofia.wang407@example.com,Electronics,Power Bank,8.0,284.68,5.0,2163.57,2023-11-04,New York,USA,Credit Card,Cancelled,5.0
ORD00149,Olivia Patel,olivia.patel720@example.com,Clothing,Cotton T-Shirt,7.0,324.23,0.0,2269.61,2024-06-24,Delhi,India,Debit Card,Returned,1.0
ORD00150,Isabella Kumar,isabella.kumar288@example.com,Sports,Cycling Helmet,3.0,464.74,5.0,1324.51,2024-08-24,Leeds,UK,Credit Card,Processing,3.0
ORD00151,Liam Tanaka,liam.tanaka554@example.com,Home & Kitchen,Cutlery Set,3.0,396.3,0.0,1188.9,2024-05-27,Sydney,Australia,Credit Card,Cancelled,2.0
ORD00152,James Dubois,james.dubois978@example.com,Sports,Football,6.0,19.66,25.0,88.47,2024-05-17,Hamburg,Germany,Cash on Delivery,Cancelled,5.0
ORD00153,Li Tanaka,li.tanaka634@example.com,Home & Kitchen,Coffee Maker,2.0,137.65,0.0,275.3,2024-02-03,Brisbane,Australia,Credit Card,Delivered,
ORD00154,Kavya Garcia,kavya.garcia277@example.com,Electronics,USB-C Cable,7.0,227.18,20.0,1272.21,2023-04-16,Mumbai,India,UPI,Returned,5.0
ORD00155,Mei Zhang,mei.zhang13@example.com,Home & Kitchen,Cutlery Set,2.0,363.8,5.0,691.22,2024-08-08,Sao Paulo,Brazil,PayPal,Cancelled,4.0
ORD00156,Kavya Brown,kavya.brown65@example.com,Clothing,Wool Sweater,5.0,244.69,10.0,1101.11,2023-09-10,Lyon,France,Net Banking,Delivered,1.0
ORD00157,John Zhang,john.zhang390@example.com,Home & Kitchen,Cutlery Set,10.0,72.38,5.0,687.61,2024-05-05,Melbourne,Australia,Net Banking,Processing,5.0
ORD00158,Liam Johnson,liam.johnson288@example.com,Books,Self-Help Guide,10.0,103.9,0.0,1039.0,2024-11-29,Sao Paulo,Brazil,PayPal,Cancelled,3.0
ORD00159,Michael Williams,michael.williams71@example.com,Books,History Book,5.0,124.8,20.0,499.2,2024-01-22,Houston,USA,Cash on Delivery,Cancelled,5.0
ORD00160,David Suzuki,david.suzuki810@example.com,Home & Kitchen,LED Lamp,9.0,298.94,0.0,2690.46,2023-09-12,Melbourne,Australia,PayPal,Returned,
ORD00161,Wei Tanaka,wei.tanaka340@example.com,Books,Fiction Novel,,133.08,5.0,,2024-04-01,Perth,Australia,Net Banking,Returned,3.0
ORD00162,Mary Sharma,mary.sharma303@example.com,Books,Fiction Novel,3.0,177.42,5.0,505.65,2024-06-17,Marseille,France,Net Banking,Delivered,5.0
ORD00163,James Kumar,james.kumar830@example.com,Beauty,Face Serum,,174.82,0.0,,2023-09-07,Sao Paulo,Brazil,Cash on Delivery,Shipped,4.0
